sche_date,stadium_id, gubun, hometeam_id, awayteam_id, home_score, away_score
'D01', '2012-09-11', 'False'::VARCHAR, 'K07', 'K05', NULL, NULL
'B05', '2012-09-11', 'False'::VARCHAR, 'K09', 'K01', NULL, NULL
'B04', '2012-09-11', 'False'::VARCHAR, 'K02', 'K08', NULL, NULL
'B01', '2012-09-11', 'False'::VARCHAR, 'K04', 'K03', NULL, NULL
'D02', '2012-09-11', 'False'::VARCHAR, 'K10', 'K06', NULL, NULL
'C02', '2012-09-14', 'False'::VARCHAR, 'K06', 'K04', NULL, NULL
'C06', '2012-09-14', 'False'::VARCHAR, 'K03', 'K09', NULL, NULL
'B02', '2012-09-14', 'False'::VARCHAR, 'K08', 'K01', NULL, NULL
'D01', '2012-09-14', 'False'::VARCHAR, 'K07', 'K02', NULL, NULL
'D03', '2012-09-15', 'False'::VARCHAR, 'K05', 'K10', NULL, NULL
'D02', '2012-09-18', 'False'::VARCHAR, 'K10', 'K02', NULL, NULL
'B02', '2012-09-18', 'False'::VARCHAR, 'K08', 'K07', NULL, NULL
'B05', '2012-09-18', 'False'::VARCHAR, 'K09', 'K06', NULL, NULL
'D03', '2012-09-18', 'False'::VARCHAR, 'K05', 'K04', NULL, NULL
'B04', '2012-09-25', 'False'::VARCHAR, 'K02', 'K10', NULL, NULL
'C06', '2012-09-25', 'False'::VARCHAR, 'K03', 'K01', NULL, NULL
'B01', '2012-09-25', 'False'::VARCHAR, 'K04', 'K05', NULL, NULL
'D01', '2012-09-25', 'False'::VARCHAR, 'K07', 'K08', NULL, NULL
'B05', '2012-09-25', 'False'::VARCHAR, 'K09', 'K06', NULL, NULL
'D01', '2012-10-19', 'False'::VARCHAR, 'K07', 'K02', NULL, NULL
'C06', '2012-10-19', 'False'::VARCHAR, 'K03', 'K09', NULL, NULL
'D02', '2012-10-20', 'False'::VARCHAR, 'K10', 'K05', NULL, NULL
'C02', '2012-10-20', 'False'::VARCHAR, 'K06', 'K04', NULL, NULL
'C06', '2012-10-23', 'False'::VARCHAR, 'K03', 'K04', NULL, NULL
'D03', '2012-10-23', 'False'::VARCHAR, 'K05', 'K07', NULL, NULL
'C02', '2012-10-23', 'False'::VARCHAR, 'K06', 'K10', NULL, NULL
'B02', '2012-10-23', 'False'::VARCHAR, 'K08', 'K02', NULL, NULL
'D01', '2012-10-26', 'False'::VARCHAR, 'K07', 'K06', NULL, NULL
'D02', '2012-10-27', 'False'::VARCHAR, 'K10', 'K03', NULL, NULL
'B01', '2012-10-27', 'False'::VARCHAR, 'K04', 'K01', NULL, NULL
'B05', '2012-10-27', 'False'::VARCHAR, 'K09', 'K08', NULL, NULL
'B04', '2012-10-27', 'False'::VARCHAR, 'K02', 'K05', NULL, NULL
'B04', '2012-10-30', 'False'::VARCHAR, 'K02', 'K04', NULL, NULL
'D02', '2012-10-30', 'False'::VARCHAR, 'K10', 'K08', NULL, NULL
'C06', '2012-11-02', 'N'::VARCHAR, 'K03', 'K07', NULL, NULL
'B05', '2012-11-03', 'N'::VARCHAR, 'K09', 'K04', NULL, NULL
'C02', '2012-11-03', 'N'::VARCHAR, 'K06', 'K02', NULL, NULL
'B02', '2012-11-03', 'N'::VARCHAR, 'K08', 'K05', NULL, NULL
'D03', '2012-11-06', 'N'::VARCHAR, 'K05', 'K06', NULL, NULL
'D01', '2012-11-06', 'N'::VARCHAR, 'K07', 'K01', NULL, NULL
'D02', '2012-11-06', 'N'::VARCHAR, 'K10', 'K09', NULL, NULL
'B01', '2012-11-06', 'N'::VARCHAR, 'K04', 'K08', NULL, NULL
'B04', '2012-11-06', 'N'::VARCHAR, 'K02', 'K03', NULL, NULL
'C06', '2012-11-09', 'N'::VARCHAR, 'K03', 'K05', NULL, NULL
'B05', '2012-11-10', 'N'::VARCHAR, 'K09', 'K07', NULL, NULL
'B01', '2012-11-10', 'N'::VARCHAR, 'K04', 'K10', NULL, NULL
'B02', '2012-11-10', 'N'::VARCHAR, 'K08', 'K06', NULL, NULL
'D01', '2012-11-13', 'N'::VARCHAR, 'K07', 'K04', NULL, NULL
'C02', '2012-11-13', 'N'::VARCHAR, 'K06', 'K03', NULL, NULL
'B04', '2012-11-13', 'N'::VARCHAR, 'K02', 'K09', NULL, NULL
'D03', '2012-11-13', 'N'::VARCHAR, 'K05', 'K01', NULL, NULL
'B05', '2012-11-17', 'N'::VARCHAR, 'K09', 'K05', NULL, NULL
'D02', '2012-11-17', 'N'::VARCHAR, 'K10', 'K07', NULL, NULL
'C06', '2012-11-17', 'N'::VARCHAR, 'K03', 'K08', NULL, NULL
'B01', '2012-11-17', 'N'::VARCHAR, 'K04', 'K02', NULL, NULL
'C02', '2012-05-01', 'Y', 'K06', 'K10', 2, 0
'B04', '2012-05-05', 'Y', 'K02', 'K01', 1, 2
'B05', '2012-05-05', 'Y', 'K09', 'K08', 1, 3
'B02', '2012-05-12', 'Y', 'K08', 'K01', 1, 1
'C02', '2012-07-07', 'Y', 'K06', 'K01', 1, 2
'B02', '2012-07-07', 'Y', 'K08', 'K03', 3, 2
