기준일자,신규보증취급구분,고객분류,여부구분,기업수
2016-06-01,신규증액,성숙기기업,전체,12
2016-06-01,신규증액,성숙기기업,여,10
2016-06-01,신규증액,성숙기기업,부,2
2016-06-01,신규증액,기타일반기업,전체,11
2016-06-01,신규증액,기타일반기업,여,11
2016-06-01,신규증액,영세소기업,전체,4
2016-06-01,신규증액,영세소기업,여,4
2016-06-01,신규증액,성장잠재기업,전체,56
2016-06-01,신규증액,성장잠재기업,여,30
2016-06-01,신규증액,성장잠재기업,부,26
2016-06-01,신규증액,창업초기기업,전체,77
2016-06-01,신규증액,창업초기기업,여,58
2016-06-01,신규증액,창업초기기업,부,19
2016-06-01,신규증액,시장선도영역,전체,20
2016-06-01,신규증액,시장선도영역,여,20
2016-06-01,신규증액,시장선도영역,전체,7
2016-06-01,신규증액,시장선도영역,여,6
2016-06-01,신규증액,시장선도영역,부,1
2016-06-01,신규증액,혁신선도영역,전체,22
2016-06-01,신규증액,혁신선도영역,여,21
2016-06-01,신규증액,혁신선도영역,부,1
2016-06-01,신규증액,혁신선도영역,전체,10
2016-06-01,신규증액,혁신선도영역,여,5
2016-06-01,신규증액,혁신선도영역,부,5
2016-06-01,신규증액,글로벌선도영역,전체,5
2016-06-01,신규증액,글로벌선도영역,여,5
2016-06-01,신규증액,경쟁력향상기업,전체,2
2016-06-01,신규증액,경쟁력향상기업,여,2
2016-06-01,신규증액,성숙기기업,전체,12
2016-06-01,신규증액,성숙기기업,여,10
2016-06-01,신규증액,성숙기기업,부,2
2016-06-01,신규증액,기타일반기업,전체,11
2016-06-01,신규증액,기타일반기업,여,11
2016-06-01,신규증액,영세소기업,전체,4
2016-06-01,신규증액,영세소기업,여,4
2016-06-01,신규증액,성숙기기업,전체,1
2016-06-01,신규증액,성숙기기업,여,1
2016-06-01,신규증액,기타일반기업,전체,10
2016-06-01,신규증액,기타일반기업,여,10
2016-06-01,신규증액,영세소기업,전체,1
2016-06-01,신규증액,영세소기업,여,1
2016-06-01,신규증액,성숙기기업,전체,1
2016-06-01,신규증액,성숙기기업,여,1
2016-06-01,신규증액,기타일반기업,전체,10
2016-06-01,신규증액,기타일반기업,여,10
2016-06-01,신규증액,영세소기업,전체,1
2016-06-01,신규증액,영세소기업,여,1
2016-06-01,보증잔액,시장안정기능,전체,18
2016-06-01,보증잔액,시장안정기능,여,9
